name,latent_path,original_bytes,zstd_bytes,zstd_then_openzl_bytes,delta_vs_zstd_bytes,saved_vs_original_bytes,original_mb,zstd_mb,zstd_then_openzl_mb,delta_vs_zstd_mb,saved_vs_original_mb,original_mib,zstd_mib,zstd_then_openzl_mib,ratio_original_to_zstd,ratio_original_to_final,delta_vs_zstd_percent,saved_vs_original_percent,original_sha256,restored_sha256,verified_lossless
010_temporal_flickering_r02_p011_a_tranquil_tableau_of_house,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/010_temporal_flickering_r02_p011_a_tranquil_tableau_of_house.pt,20953436,19073251,19073728,477,1879708,20.953436,19.073251,19.073728,0.000477,1.879708,19.982754,18.18967,18.190125,1.098577,1.09855,0.002501,8.970882,c41e9bba09f54d35cc6a5a647b8ac49a19ebed43644463d79444708028850e60,c41e9bba09f54d35cc6a5a647b8ac49a19ebed43644463d79444708028850e60,True
011_temporal_flickering_r03_p054_a_tranquil_tableau_of_in_the_heart_of_plaka_the_neoclassical_architecture_of_the,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/011_temporal_flickering_r03_p054_a_tranquil_tableau_of_in_the_heart_of_plaka_the_neoclassical_architecture_of_the.pt,20954191,19075827,19076304,477,1877887,20.954191,19.075827,19.076304,0.000477,1.877887,19.983474,18.192126,18.192581,1.098468,1.098441,0.002501,8.961868,3fd35e67c467864da3b92fc925e075c3cbf9e6e0260f538465a99dd1a5443448,3fd35e67c467864da3b92fc925e075c3cbf9e6e0260f538465a99dd1a5443448,True
012_motion_smoothness_r00_p011_a_car_stuck_in_traffic_during_rush_hour,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/012_motion_smoothness_r00_p011_a_car_stuck_in_traffic_during_rush_hour.pt,20953634,19204035,19204515,480,1749119,20.953634,19.204035,19.204515,0.00048,1.749119,19.982943,18.314395,18.314853,1.091106,1.091079,0.002499,8.347569,b86325a232dc9f5ddcf80a6f53f5c42a1c213f7362c2d4451ea0c63ef2435fa5,b86325a232dc9f5ddcf80a6f53f5c42a1c213f7362c2d4451ea0c63ef2435fa5,True
013_motion_smoothness_r01_p027_a_train_speeding_down_the_tracks,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/013_motion_smoothness_r01_p027_a_train_speeding_down_the_tracks.pt,20953457,19234155,19234635,480,1718822,20.953457,19.234155,19.234635,0.00048,1.718822,19.982774,18.34312,18.343577,1.089388,1.089361,0.002496,8.203047,ac0fc8854408fef65a6fdcbfbc3981dc9aa8d4dcbf2120eb9949af577ad129b3,ac0fc8854408fef65a6fdcbfbc3981dc9aa8d4dcbf2120eb9949af577ad129b3,True
014_motion_smoothness_r02_p029_a_train_accelerating_to_gain_speed,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/014_motion_smoothness_r02_p029_a_train_accelerating_to_gain_speed.pt,20953471,19271783,19272266,483,1681205,20.953471,19.271783,19.272266,0.000483,1.681205,19.982787,18.379004,18.379465,1.087262,1.087234,0.002506,8.023516,28d80870fbf0f2ce0c050905af0337676062fa4cc4889836c2568419dd3f446f,28d80870fbf0f2ce0c050905af0337676062fa4cc4889836c2568419dd3f446f,True
015_motion_smoothness_r03_p064_a_bear_climbing_a_tree,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/015_motion_smoothness_r03_p064_a_bear_climbing_a_tree.pt,20953195,19244866,19245346,480,1707849,20.953195,19.244866,19.245346,0.00048,1.707849,19.982524,18.353334,18.353792,1.088768,1.088741,0.002494,8.150781,a44ddc599f1c607cbbb2c28615e69b62ae86f0964686451fd31105b6feaea28f,a44ddc599f1c607cbbb2c28615e69b62ae86f0964686451fd31105b6feaea28f,True
016_dynamic_degree_r00_p003_a_person_eating_a_burger,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/016_dynamic_degree_r00_p003_a_person_eating_a_burger.pt,20953188,19192273,19192753,480,1760435,20.953188,19.192273,19.192753,0.00048,1.760435,19.982517,18.303178,18.303636,1.091751,1.091724,0.002501,8.401753,889363e54757cf84f4415af5780e28252ee2d6b6aef8cdb05a855729d2cca396,889363e54757cf84f4415af5780e28252ee2d6b6aef8cdb05a855729d2cca396,True
017_dynamic_degree_r01_p025_a_bus_stuck_in_traffic_during_rush_hour,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/017_dynamic_degree_r01_p025_a_bus_stuck_in_traffic_during_rush_hour.pt,20953613,19218049,19218529,480,1735084,20.953613,19.218049,19.218529,0.00048,1.735084,19.982923,18.32776,18.328218,1.090309,1.090282,0.002498,8.280596,78005e2f5165a48a33d79c7266aea4cf971241d394f22f9002fb6e40ea2cc2a0,78005e2f5165a48a33d79c7266aea4cf971241d394f22f9002fb6e40ea2cc2a0,True
018_dynamic_degree_r02_p069_a_giraffe_bending_down_to_drink_water_from_a_river,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/018_dynamic_degree_r02_p069_a_giraffe_bending_down_to_drink_water_from_a_river.pt,20953754,19159625,19160105,480,1793649,20.953754,19.159625,19.160105,0.00048,1.793649,19.983057,18.272042,18.2725,1.093641,1.093614,0.002505,8.560037,e40d6a31c95a9a9063826765f4e91a5c42de676024517ad7b5ec87f23edb345f,e40d6a31c95a9a9063826765f4e91a5c42de676024517ad7b5ec87f23edb345f,True
019_dynamic_degree_r03_p071_a_giraffe_running_to_join_a_herd_of_its_kind,/workspace/video_bench/wan22_ti2v5b_vbench_16x4_seed42/latents/019_dynamic_degree_r03_p071_a_giraffe_running_to_join_a_herd_of_its_kind.pt,20953712,19037187,19037664,477,1916048,20.953712,19.037187,19.037664,0.000477,1.916048,19.983017,18.155276,18.155731,1.100673,1.100645,0.002506,9.144194,2f5eea22fd094589f33d2216b3c73edc91838a195f2316de7d75c1a1242bba11,2f5eea22fd094589f33d2216b3c73edc91838a195f2316de7d75c1a1242bba11,True
